"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","13670","201901241300","-3","1","7"
"TT_TU_MN009","13670","201901241400","-2.9","1","7"
"TT_TU_MN009","13670","201901241500","-3.2","1","7"
"TT_TU_MN009","13670","201901241600","-3.4","1","7"
"TT_TU_MN009","13670","201901241700","-4","1","7"
"TT_TU_MN009","13670","201901241800","-3.6","1","7"
"TT_TU_MN009","13670","201901241900","-3.3","1","7"
"TT_TU_MN009","13670","201901242000","-3.2","1","7"
"TT_TU_MN009","13670","201901242100","-3.1","1","7"
"TT_TU_MN009","13670","201901242200","-3.2","1","7"
"TT_TU_MN009","13670","201901242300","-3.1","1","7"
"TT_TU_MN009","13670","201901250000","-3.1","1","7"
"TT_TU_MN009","13670","201901250100","-3.1","1","7"
"TT_TU_MN009","13670","201901250200","-3.2","1","7"
"TT_TU_MN009","13670","201901250300","-3.4","1","7"
"TT_TU_MN009","13670","201901250400","-3.5","1","7"
"TT_TU_MN009","13670","201901250500","-3.3","1","7"
"TT_TU_MN009","13670","201901250600","-3.1","1","7"
"TT_TU_MN009","13670","201901250700","-2.9","1","7"
"TT_TU_MN009","13670","201901250800","-2.5","1","7"
"TT_TU_MN009","13670","201901250900","-2.2","1","7"
"TT_TU_MN009","13670","201901251000","-1.1","1","7"
"TT_TU_MN009","13670","201901251100","-0.2","1","7"
"TT_TU_MN009","13670","201901251200","0.4","1","7"
"TT_TU_MN009","13670","201901251300","1","1","7"
"TT_TU_MN009","13670","201901251400","1.3","1","7"
"TT_TU_MN009","13670","201901251500","1.7","1","7"
"TT_TU_MN009","13670","201901251600","1.1","1","7"
"TT_TU_MN009","13670","201901251700","1.2","1","7"
"TT_TU_MN009","13670","201901251800","1.5","1","7"
"TT_TU_MN009","13670","201901251900","1.7","1","7"
"TT_TU_MN009","13670","201901252000","1.9","1","7"
"TT_TU_MN009","13670","201901252100","2.2","1","7"
"TT_TU_MN009","13670","201901252200","2.5","1","7"
"TT_TU_MN009","13670","201901252300","3.2","1","7"
"TT_TU_MN009","13670","201901260000","3.6","1","7"
"TT_TU_MN009","13670","201901260100","4.2","1","7"
"TT_TU_MN009","13670","201901260200","4.5","1","7"
"TT_TU_MN009","13670","201901260300","4.9","1","7"
"TT_TU_MN009","13670","201901260400","5.2","1","7"
"TT_TU_MN009","13670","201901260500","5.6","1","7"
"TT_TU_MN009","13670","201901260600","5.8","1","7"
"TT_TU_MN009","13670","201901260700","6","1","7"
"TT_TU_MN009","13670","201901260800","6.3","1","7"
"TT_TU_MN009","13670","201901260900","5.8","1","7"
"TT_TU_MN009","13670","201901261000","5.7","1","7"
"TT_TU_MN009","13670","201901261100","6.1","1","7"
"TT_TU_MN009","13670","201901261200","6.7","1","7"
"TT_TU_MN009","13670","201901261300","7.3","1","7"
"TT_TU_MN009","13670","201901261400","7.4","1","7"
"TT_TU_MN009","13670","201901261500","7.2","1","7"
"TT_TU_MN009","13670","201901261600","7","1","7"
"TT_TU_MN009","13670","201901261700","6.6","1","7"
"TT_TU_MN009","13670","201901261800","6.5","1","7"
"TT_TU_MN009","13670","201901261900","6.4","1","7"
"TT_TU_MN009","13670","201901262000","6.6","1","7"
"TT_TU_MN009","13670","201901262100","6.6","1","7"
"TT_TU_MN009","13670","201901262200","6.6","1","7"
"TT_TU_MN009","13670","201901262300","6.7","1","7"
"TT_TU_MN009","13670","201901270000","6.6","1","7"
"TT_TU_MN009","13670","201901270100","5.9","1","7"
"TT_TU_MN009","13670","201901270200","6.3","1","7"
"TT_TU_MN009","13670","201901270300","6.4","1","7"
"TT_TU_MN009","13670","201901270400","6.4","1","7"
"TT_TU_MN009","13670","201901270500","7","1","7"
"TT_TU_MN009","13670","201901270600","6.9","1","7"
"TT_TU_MN009","13670","201901270700","6.5","1","7"
"TT_TU_MN009","13670","201901270800","7","1","7"
"TT_TU_MN009","13670","201901270900","7","1","7"
"TT_TU_MN009","13670","201901271000","6.7","1","7"
"TT_TU_MN009","13670","201901271100","6.5","1","7"
"TT_TU_MN009","13670","201901271200","6.3","1","7"
"TT_TU_MN009","13670","201901271300","6.2","1","7"
"TT_TU_MN009","13670","201901271400","6.7","1","7"
"TT_TU_MN009","13670","201901271500","6","1","7"
"TT_TU_MN009","13670","201901271600","4.9","1","7"
"TT_TU_MN009","13670","201901271700","4.7","1","7"
"TT_TU_MN009","13670","201901271800","4.6","1","7"
"TT_TU_MN009","13670","201901271900","4","1","7"
"TT_TU_MN009","13670","201901272000","3.2","1","7"
"TT_TU_MN009","13670","201901272100","3.1","1","7"
"TT_TU_MN009","13670","201901272200","3.4","1","7"
"TT_TU_MN009","13670","201901272300","3.6","1","7"
"TT_TU_MN009","13670","201901280000","3.5","1","7"
"TT_TU_MN009","13670","201901280100","3.2","1","7"
"TT_TU_MN009","13670","201901280200","3","1","7"
"TT_TU_MN009","13670","201901280300","2.4","1","7"
"TT_TU_MN009","13670","201901280400","2.2","1","7"
"TT_TU_MN009","13670","201901280500","2.3","1","7"
"TT_TU_MN009","13670","201901280600","2.1","1","7"
"TT_TU_MN009","13670","201901280700","2.8","1","7"
"TT_TU_MN009","13670","201901280800","4.1","1","7"
"TT_TU_MN009","13670","201901280900","4.6","1","7"
"TT_TU_MN009","13670","201901281000","4.6","1","7"
"TT_TU_MN009","13670","201901281100","4.5","1","7"
"TT_TU_MN009","13670","201901281200","4.3","1","7"
"TT_TU_MN009","13670","201901281300","3.8","1","7"
"TT_TU_MN009","13670","201901281400","3.5","1","7"
"TT_TU_MN009","13670","201901281500","3.9","1","7"
"TT_TU_MN009","13670","201901281600","4.1","1","7"
"TT_TU_MN009","13670","201901281700","3.4","1","7"
"TT_TU_MN009","13670","201901281800","3.1","1","7"
"TT_TU_MN009","13670","201901281900","2.9","1","7"
"TT_TU_MN009","13670","201901282000","1.5","1","7"
"TT_TU_MN009","13670","201901282100","1.1","1","7"
"TT_TU_MN009","13670","201901282200","0.9","1","7"
"TT_TU_MN009","13670","201901282300","1.2","1","7"
"TT_TU_MN009","13670","201901290000","1.5","1","7"
"TT_TU_MN009","13670","201901290100","1.6","1","7"
"TT_TU_MN009","13670","201901290200","0.7","1","7"
"TT_TU_MN009","13670","201901290300","0.8","1","7"
"TT_TU_MN009","13670","201901290400","0.2","1","7"
"TT_TU_MN009","13670","201901290500","0","1","7"
"TT_TU_MN009","13670","201901290600","-0.1","1","7"
"TT_TU_MN009","13670","201901290700","0.6","1","7"
"TT_TU_MN009","13670","201901290800","0.9","1","7"
"TT_TU_MN009","13670","201901290900","1.2","1","7"
"TT_TU_MN009","13670","201901291000","2","1","7"
